IP Address,Is Public,IP Version,Is Whitelisted,Abuse Confidence Score,Country Code,Country Name,Usage Type,ISP,Domain,Hostnames,Is Tor,Total Reports,Distinct Users,Last Reported At
104.236.75.167,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,388,143,2025-11-12T11:28:52+00:00
138.68.91.125,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,306,131,2025-11-12T04:00:45+00:00
45.55.130.199,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,308,145,2025-11-12T01:44:14+00:00
165.232.142.253,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,275,131,2025-11-12T01:04:26+00:00
165.22.151.195,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,142,102,2025-11-12T07:07:52+00:00
134.199.197.153,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,209,105,2025-11-12T06:53:54+00:00
167.172.148.206,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,6a90b8ed7a.research-scanner.com,false,299,132,2025-11-12T02:38:03+00:00
164.92.86.252,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,296,129,2025-11-12T11:07:26+00:00
134.199.197.132,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,141,91,2025-11-12T04:18:50+00:00
138.68.132.209,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,db-mongodb-lon1-30254-25ee8184.mongo.ondigitalocean.com,false,361,146,2025-11-12T00:36:43+00:00
174.138.52.189,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,309,135,2025-11-12T11:05:33+00:00
146.190.241.72,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,318,133,2025-11-11T23:45:31+00:00
138.68.94.43,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,266,121,2025-11-12T07:53:35+00:00
